Date,Month,Year,Weekday,Avg Trip Duration,Total Rides,TempHighF,TempAvgF,DewPointHighF,DewPointAvgF,WindHighMPH,WindAvgMPH,PrecipitationSumInches,Events,PrecipBins
2013-12-21,12,2013,5,29.136,103,74,60,67,49,20,4,0.46,"Rain , Thunderstorm",0.1-0.5
2013-12-22,12,2013,6,40.461999999999996,117,56,48,43,36,16,6,0.0,Sunny,0
2013-12-23,12,2013,0,55.604,96,58,45,31,27,8,3,0.0,Sunny,0
2013-12-24,12,2013,1,31.965,85,61,46,36,28,12,4,0.0,Sunny,0
2013-12-25,12,2013,2,49.297,145,58,50,44,40,10,2,0.005,Sunny,0.1-0.5
2013-12-26,12,2013,3,49.27,100,57,48,39,36,12,3,0.0,Sunny,0
2013-12-27,12,2013,4,37.296,115,60,53,41,39,7,1,0.005,Sunny,0.1-0.5
2013-12-28,12,2013,5,42.515,194,62,51,43,39,10,2,0.005,Sunny,0.1-0.5
2013-12-29,12,2013,6,41.133,255,64,50,49,41,17,5,0.0,Sunny,0
2013-12-30,12,2013,0,17.952,84,44,40,31,26,13,5,0.0,Sunny,0
2013-12-31,12,2013,1,37.288000000000004,163,55,46,31,28,8,1,0.0,Sunny,0
2014-01-01,1,2014,2,41.583999999999996,267,69,54,51,42,13,4,0.0,Sunny,0
2014-01-02,1,2014,3,20.799,144,55,44,39,26,21,8,0.0,Sunny,0
2014-01-03,1,2014,4,37.794000000000004,63,58,43,37,22,14,4,0.0,Sunny,0
2014-01-04,1,2014,5,38.439,173,71,57,55,48,16,7,0.0,Sunny,0
2014-01-05,1,2014,6,19.205,44,59,47,54,32,21,10,0.0,Sunny,0
2014-01-06,1,2014,0,10.375,24,36,29,15,8,17,7,0.0,Sunny,0
2014-01-07,1,2014,1,17.375,48,48,35,29,11,13,5,0.0,Sunny,0
2014-01-08,1,2014,2,30.074,27,53,47,51,45,12,1,0.16,Rain,0.1-0.5
2014-01-09,1,2014,3,16.474,76,70,62,60,55,12,3,0.0,Fog,0
2014-01-10,1,2014,4,15.237,76,72,65,64,61,13,6,0.1,Rain,0.1-0.5
2014-01-11,1,2014,5,34.647,272,75,62,54,37,12,3,0.0,Sunny,0
2014-01-12,1,2014,6,54.08,88,67,57,58,47,15,4,0.01,Rain,0.1-0.5
2014-01-13,1,2014,0,20.2,80,71,57,60,36,17,7,0.0,Sunny,0
2014-01-14,1,2014,1,30.2,115,76,57,31,25,16,5,0.0,Sunny,0
2014-01-15,1,2014,2,15.827,81,64,52,29,23,14,4,0.0,Sunny,0
2014-01-16,1,2014,3,18.435,108,72,56,31,27,14,4,0.0,Sunny,0
2014-01-17,1,2014,4,19.127,110,64,54,31,20,14,5,0.0,Sunny,0
2014-01-18,1,2014,5,41.576,255,70,54,41,33,12,2,0.0,Sunny,0
2014-01-19,1,2014,6,35.704,216,72,59,41,30,9,3,0.0,Sunny,0
2014-01-20,1,2014,0,55.025,159,82,64,51,36,16,5,0.0,Sunny,0
2014-01-21,1,2014,1,15.745999999999999,71,63,51,28,23,15,6,0.0,Sunny,0
2014-01-22,1,2014,2,14.667,81,70,54,39,27,12,4,0.0,Sunny,0
2014-01-23,1,2014,3,7.5,26,56,42,42,29,20,9,0.06,"Rain , Snow",0.1-0.5
2014-01-24,1,2014,4,14.194,31,40,33,22,17,16,5,0.05,Sunny,0.1-0.5
2014-01-25,1,2014,5,31.936,187,70,48,38,27,8,1,0.0,Sunny,0
2014-01-26,1,2014,6,47.93,215,76,60,45,39,12,3,0.0,Sunny,0
2014-01-27,1,2014,0,12.364,66,60,47,43,23,21,9,0.02,Rain,0.1-0.5
2014-01-28,1,2014,1,7.562,16,39,33,19,14,15,6,0.05,Rain,0.1-0.5
2014-01-29,1,2014,2,32.981,53,49,38,19,13,15,5,0.0,Sunny,0
2014-01-30,1,2014,3,18.162,68,65,48,51,36,15,7,0.0,Sunny,0
2014-01-31,1,2014,4,64.296,135,80,68,59,54,14,9,0.0,Sunny,0
2014-02-01,2,2014,5,38.571999999999996,285,76,66,62,59,14,6,0.005,Rain,0.1-0.5
2014-02-02,2,2014,6,10.632,19,55,45,40,33,18,11,0.02,Rain,0.1-0.5
2014-02-03,2,2014,0,9.075,53,46,40,38,33,13,6,0.0,Sunny,0
2014-02-04,2,2014,1,23.848000000000003,92,64,53,45,41,10,2,0.15,Rain,0.1-0.5
2014-02-05,2,2014,2,9.548,62,48,40,42,26,16,10,0.0,Sunny,0
2014-02-06,2,2014,3,7.171,41,32,29,17,15,15,8,0.0,Sunny,0
2014-02-07,2,2014,4,16.662,65,38,34,29,24,8,3,0.0,Sunny,0
2014-02-08,2,2014,5,41.303000000000004,254,65,51,42,36,14,5,0.0,Sunny,0
2014-02-09,2,2014,6,44.823,231,76,59,53,45,13,4,0.0,Fog,0
2014-02-10,2,2014,0,11.642000000000001,53,60,48,49,36,15,9,0.005,Rain,0.1-0.5
2014-02-11,2,2014,1,7.5760000000000005,33,36,35,31,29,15,9,0.1,Rain,0.1-0.5
2014-02-12,2,2014,2,19.659000000000002,129,57,45,34,29,14,5,0.0,Sunny,0
2014-02-13,2,2014,3,18.395,157,69,51,38,34,10,4,0.0,Sunny,0
2014-02-14,2,2014,4,25.64,272,86,67,48,37,18,6,0.0,Sunny,0
2014-02-15,2,2014,5,37.407,656,76,59,52,35,15,5,0.0,Sunny,0
2014-02-16,2,2014,6,51.871,449,76,68,61,57,13,5,0.0,Fog,0
2014-02-17,2,2014,0,28.0,370,81,70,62,50,15,5,0.0,Sunny,0
2014-02-18,2,2014,1,25.635,156,82,69,63,53,13,4,0.0,Sunny,0
2014-02-19,2,2014,2,16.503,169,82,73,62,60,15,7,0.0,Sunny,0
2014-02-20,2,2014,3,17.211,161,83,70,64,50,16,8,0.0,Sunny,0
2014-02-21,2,2014,4,27.961,229,72,57,33,27,14,5,0.0,Sunny,0
2014-02-22,2,2014,5,44.43600000000001,369,77,63,57,46,14,6,0.0,Sunny,0
2014-02-23,2,2014,6,31.95,416,86,74,61,56,15,4,0.0,Sunny,0
2014-02-24,2,2014,0,16.79,167,76,66,63,51,12,4,0.0,Sunny,0
2014-02-25,2,2014,1,29.901999999999997,92,71,62,65,60,12,5,0.005,Rain,0.1-0.5
2014-02-26,2,2014,2,9.519,52,52,44,46,33,20,8,0.11,Rain,0.1-0.5
2014-02-27,2,2014,3,21.566999999999997,157,59,45,32,27,12,3,0.0,Sunny,0
2014-02-28,2,2014,4,29.35,317,80,62,50,46,13,6,0.0,Sunny,0
2014-03-01,3,2014,5,43.927,547,82,68,65,57,16,5,0.0,Fog,0
2014-03-02,3,2014,6,17.162,80,73,51,67,45,20,10,0.08,Rain,0.1-0.5
2014-03-03,3,2014,0,24.236,110,47,36,27,20,18,10,0.08,"Rain , Thunderstorm",0.1-0.5
2014-03-04,3,2014,1,12.955,112,50,40,36,31,9,4,0.17,Rain,0.1-0.5
2014-03-05,3,2014,2,19.0,190,53,46,43,39,13,3,0.0,Sunny,0
2014-03-06,3,2014,3,25.831999999999997,364,65,54,42,38,13,4,0.0,Sunny,0
