Date,Month,Year,Weekday,Total Rides,TempHighF,TempAvgF,DewPointHighF,DewPointAvgF,WindHighMPH,WindAvgMPH,PrecipitationSumInches,Events,PrecipBins
2013-12-21,12,2013,5,103,74,60,67,49,20,4,0.46,"Rain , Thunderstorm",0-0.5
2013-12-22,12,2013,6,117,56,48,43,36,16,6,0.0,Sunny,0
2013-12-23,12,2013,0,96,58,45,31,27,8,3,0.0,Sunny,0
2013-12-24,12,2013,1,85,61,46,36,28,12,4,0.0,Sunny,0
2013-12-25,12,2013,2,145,58,50,44,40,10,2,0.005,Sunny,0-0.5
2013-12-26,12,2013,3,100,57,48,39,36,12,3,0.0,Sunny,0
2013-12-27,12,2013,4,115,60,53,41,39,7,1,0.005,Sunny,0-0.5
2013-12-28,12,2013,5,194,62,51,43,39,10,2,0.005,Sunny,0-0.5
2013-12-29,12,2013,6,255,64,50,49,41,17,5,0.0,Sunny,0
2013-12-30,12,2013,0,84,44,40,31,26,13,5,0.0,Sunny,0
2013-12-31,12,2013,1,163,55,46,31,28,8,1,0.0,Sunny,0
2014-01-01,1,2014,2,267,69,54,51,42,13,4,0.0,Sunny,0
2014-01-02,1,2014,3,144,55,44,39,26,21,8,0.0,Sunny,0
2014-01-03,1,2014,4,63,58,43,37,22,14,4,0.0,Sunny,0
2014-01-04,1,2014,5,173,71,57,55,48,16,7,0.0,Sunny,0
2014-01-05,1,2014,6,44,59,47,54,32,21,10,0.0,Sunny,0
2014-01-06,1,2014,0,24,36,29,15,8,17,7,0.0,Sunny,0
2014-01-07,1,2014,1,48,48,35,29,11,13,5,0.0,Sunny,0
2014-01-08,1,2014,2,27,53,47,51,45,12,1,0.16,Rain,0-0.5
2014-01-09,1,2014,3,76,70,62,60,55,12,3,0.0,Fog,0
2014-01-10,1,2014,4,76,72,65,64,61,13,6,0.1,Rain,0-0.5
2014-01-11,1,2014,5,272,75,62,54,37,12,3,0.0,Sunny,0
2014-01-12,1,2014,6,88,67,57,58,47,15,4,0.01,Rain,0-0.5
2014-01-13,1,2014,0,80,71,57,60,36,17,7,0.0,Sunny,0
2014-01-14,1,2014,1,115,76,57,31,25,16,5,0.0,Sunny,0
2014-01-15,1,2014,2,81,64,52,29,23,14,4,0.0,Sunny,0
2014-01-16,1,2014,3,108,72,56,31,27,14,4,0.0,Sunny,0
2014-01-17,1,2014,4,110,64,54,31,20,14,5,0.0,Sunny,0
2014-01-18,1,2014,5,255,70,54,41,33,12,2,0.0,Sunny,0
2014-01-19,1,2014,6,216,72,59,41,30,9,3,0.0,Sunny,0
2014-01-20,1,2014,0,159,82,64,51,36,16,5,0.0,Sunny,0
2014-01-21,1,2014,1,71,63,51,28,23,15,6,0.0,Sunny,0
2014-01-22,1,2014,2,81,70,54,39,27,12,4,0.0,Sunny,0
2014-01-23,1,2014,3,26,56,42,42,29,20,9,0.06,"Rain , Snow",0-0.5
2014-01-24,1,2014,4,31,40,33,22,17,16,5,0.05,Sunny,0-0.5
2014-01-25,1,2014,5,187,70,48,38,27,8,1,0.0,Sunny,0
2014-01-26,1,2014,6,215,76,60,45,39,12,3,0.0,Sunny,0
2014-01-27,1,2014,0,66,60,47,43,23,21,9,0.02,Rain,0-0.5
2014-01-28,1,2014,1,16,39,33,19,14,15,6,0.05,Rain,0-0.5
2014-01-29,1,2014,2,53,49,38,19,13,15,5,0.0,Sunny,0
2014-01-30,1,2014,3,68,65,48,51,36,15,7,0.0,Sunny,0
2014-01-31,1,2014,4,135,80,68,59,54,14,9,0.0,Sunny,0
2014-02-01,2,2014,5,285,76,66,62,59,14,6,0.005,Rain,0-0.5
2014-02-02,2,2014,6,19,55,45,40,33,18,11,0.02,Rain,0-0.5
2014-02-03,2,2014,0,53,46,40,38,33,13,6,0.0,Sunny,0
2014-02-04,2,2014,1,92,64,53,45,41,10,2,0.15,Rain,0-0.5
2014-02-05,2,2014,2,62,48,40,42,26,16,10,0.0,Sunny,0
2014-02-06,2,2014,3,41,32,29,17,15,15,8,0.0,Sunny,0
2014-02-07,2,2014,4,65,38,34,29,24,8,3,0.0,Sunny,0
2014-02-08,2,2014,5,254,65,51,42,36,14,5,0.0,Sunny,0
2014-02-09,2,2014,6,231,76,59,53,45,13,4,0.0,Fog,0
2014-02-10,2,2014,0,53,60,48,49,36,15,9,0.005,Rain,0-0.5
2014-02-11,2,2014,1,33,36,35,31,29,15,9,0.1,Rain,0-0.5
2014-02-12,2,2014,2,129,57,45,34,29,14,5,0.0,Sunny,0
2014-02-13,2,2014,3,157,69,51,38,34,10,4,0.0,Sunny,0
2014-02-14,2,2014,4,272,86,67,48,37,18,6,0.0,Sunny,0
2014-02-15,2,2014,5,656,76,59,52,35,15,5,0.0,Sunny,0
2014-02-16,2,2014,6,449,76,68,61,57,13,5,0.0,Fog,0
2014-02-17,2,2014,0,370,81,70,62,50,15,5,0.0,Sunny,0
2014-02-18,2,2014,1,156,82,69,63,53,13,4,0.0,Sunny,0
2014-02-19,2,2014,2,169,82,73,62,60,15,7,0.0,Sunny,0
2014-02-20,2,2014,3,161,83,70,64,50,16,8,0.0,Sunny,0
2014-02-21,2,2014,4,229,72,57,33,27,14,5,0.0,Sunny,0
2014-02-22,2,2014,5,369,77,63,57,46,14,6,0.0,Sunny,0
2014-02-23,2,2014,6,416,86,74,61,56,15,4,0.0,Sunny,0
2014-02-24,2,2014,0,167,76,66,63,51,12,4,0.0,Sunny,0
2014-02-25,2,2014,1,92,71,62,65,60,12,5,0.005,Rain,0-0.5
2014-02-26,2,2014,2,52,52,44,46,33,20,8,0.11,Rain,0-0.5
2014-02-27,2,2014,3,157,59,45,32,27,12,3,0.0,Sunny,0
2014-02-28,2,2014,4,317,80,62,50,46,13,6,0.0,Sunny,0
2014-03-01,3,2014,5,547,82,68,65,57,16,5,0.0,Fog,0
2014-03-02,3,2014,6,80,73,51,67,45,20,10,0.08,Rain,0-0.5
2014-03-03,3,2014,0,110,47,36,27,20,18,10,0.08,"Rain , Thunderstorm",0-0.5
2014-03-04,3,2014,1,112,50,40,36,31,9,4,0.17,Rain,0-0.5
2014-03-05,3,2014,2,190,53,46,43,39,13,3,0.0,Sunny,0
